Id,ActivityHour,StepTotal
6290855005,4/12/2016 4:00,0
6775888955,4/12/2016 4:00,0
6962181067,4/12/2016 4:00,0
7007744171,4/12/2016 4:00,0
7086361926,4/12/2016 4:00,0
8053475328,4/12/2016 4:00,0
8253242879,4/12/2016 4:00,0
8378563200,4/12/2016 4:00,289
8583815059,4/12/2016 4:00,0
8792009665,4/12/2016 4:00,0
8877689391,4/12/2016 4:00,0
1503960366,4/12/2016 5:00,0
1624580081,4/12/2016 5:00,0
1644430081,4/12/2016 5:00,0
1844505072,4/12/2016 5:00,0
1927972279,4/12/2016 5:00,0
2022484408,4/12/2016 5:00,0
2026352035,4/12/2016 5:00,0
2320127002,4/12/2016 5:00,0
2347167796,4/12/2016 5:00,0
2873212765,4/12/2016 5:00,306
3372868164,4/12/2016 5:00,0
3977333714,4/12/2016 5:00,0
4020332650,4/12/2016 5:00,0
4057192912,4/12/2016 5:00,0
4319703577,4/12/2016 5:00,0
4388161847,4/12/2016 5:00,0
4445114986,4/12/2016 5:00,0
4558609924,4/12/2016 5:00,0
4702921684,4/12/2016 5:00,0
5553957443,4/12/2016 5:00,0
5577150313,4/12/2016 5:00,31
6117666160,4/12/2016 5:00,0
6290855005,4/12/2016 5:00,0
6775888955,4/12/2016 5:00,0
6962181067,4/12/2016 5:00,0
7007744171,4/12/2016 5:00,0
7086361926,4/12/2016 5:00,0
8053475328,4/12/2016 5:00,0
8253242879,4/12/2016 5:00,0
8378563200,4/12/2016 5:00,0
8583815059,4/12/2016 5:00,0
8792009665,4/12/2016 5:00,0
8877689391,4/12/2016 5:00,0
1503960366,4/12/2016 6:00,0
1624580081,4/12/2016 6:00,0
1644430081,4/12/2016 6:00,0
1844505072,4/12/2016 6:00,0
1927972279,4/12/2016 6:00,20
2022484408,4/12/2016 6:00,0
2026352035,4/12/2016 6:00,319
2320127002,4/12/2016 6:00,0
2347167796,4/12/2016 6:00,0
2873212765,4/12/2016 6:00,17
3372868164,4/12/2016 6:00,95
3977333714,4/12/2016 6:00,0
4020332650,4/12/2016 6:00,52
4057192912,4/12/2016 6:00,24
4319703577,4/12/2016 6:00,0
4388161847,4/12/2016 6:00,0
4445114986,4/12/2016 6:00,0
4558609924,4/12/2016 6:00,151
4702921684,4/12/2016 6:00,558
5553957443,4/12/2016 6:00,248
5577150313,4/12/2016 6:00,2073
6117666160,4/12/2016 6:00,0
6290855005,4/12/2016 6:00,54
6775888955,4/12/2016 6:00,0
6962181067,4/12/2016 6:00,21
7007744171,4/12/2016 6:00,881
7086361926,4/12/2016 6:00,0
8053475328,4/12/2016 6:00,0
8253242879,4/12/2016 6:00,0
8378563200,4/12/2016 6:00,322
8583815059,4/12/2016 6:00,0
8792009665,4/12/2016 6:00,0
8877689391,4/12/2016 6:00,209
1503960366,4/12/2016 7:00,0
1624580081,4/12/2016 7:00,0
1644430081,4/12/2016 7:00,0
1844505072,4/12/2016 7:00,0
1927972279,4/12/2016 7:00,0
2022484408,4/12/2016 7:00,847
2026352035,4/12/2016 7:00,225
2320127002,4/12/2016 7:00,497
2347167796,4/12/2016 7:00,397
2873212765,4/12/2016 7:00,1373
3372868164,4/12/2016 7:00,46
3977333714,4/12/2016 7:00,0
4020332650,4/12/2016 7:00,190
4057192912,4/12/2016 7:00,432
4319703577,4/12/2016 7:00,0
4388161847,4/12/2016 7:00,0
4445114986,4/12/2016 7:00,73
4558609924,4/12/2016 7:00,208
4702921684,4/12/2016 7:00,177
5553957443,4/12/2016 7:00,2030
5577150313,4/12/2016 7:00,112
6117666160,4/12/2016 7:00,0
6290855005,4/12/2016 7:00,517
6775888955,4/12/2016 7:00,0
6962181067,4/12/2016 7:00,412
7007744171,4/12/2016 7:00,3855
7086361926,4/12/2016 7:00,422
8053475328,4/12/2016 7:00,0
8253242879,4/12/2016 7:00,0
8378563200,4/12/2016 7:00,735
8583815059,4/12/2016 7:00,0
8792009665,4/12/2016 7:00,0
8877689391,4/12/2016 7:00,964
1503960366,4/12/2016 8:00,250
1624580081,4/12/2016 8:00,0
1644430081,4/12/2016 8:00,451
1844505072,4/12/2016 8:00,114
1927972279,4/12/2016 8:00,0
2022484408,4/12/2016 8:00,334
2026352035,4/12/2016 8:00,154
2320127002,4/12/2016 8:00,461
2347167796,4/12/2016 8:00,1195
2873212765,4/12/2016 8:00,1150
3372868164,4/12/2016 8:00,345
3977333714,4/12/2016 8:00,13
4020332650,4/12/2016 8:00,126
4057192912,4/12/2016 8:00,729
4319703577,4/12/2016 8:00,0
4388161847,4/12/2016 8:00,0
4445114986,4/12/2016 8:00,60
4558609924,4/12/2016 8:00,163
4702921684,4/12/2016 8:00,446
5553957443,4/12/2016 8:00,1168
5577150313,4/12/2016 8:00,339
6117666160,4/12/2016 8:00,0
6290855005,4/12/2016 8:00,371
6775888955,4/12/2016 8:00,0
6962181067,4/12/2016 8:00,156
7007744171,4/12/2016 8:00,3383
7086361926,4/12/2016 8:00,0
8053475328,4/12/2016 8:00,0
8253242879,4/12/2016 8:00,0
8378563200,4/12/2016 8:00,1513
8583815059,4/12/2016 8:00,0
8792009665,4/12/2016 8:00,13
8877689391,4/12/2016 8:00,834
1503960366,4/12/2016 9:00,1864
1624580081,4/12/2016 9:00,1085
1644430081,4/12/2016 9:00,318
1844505072,4/12/2016 9:00,682
1927972279,4/12/2016 9:00,0
2022484408,4/12/2016 9:00,243
2026352035,4/12/2016 9:00,230
2320127002,4/12/2016 9:00,470
2347167796,4/12/2016 9:00,193
2873212765,4/12/2016 9:00,1025
3372868164,4/12/2016 9:00,548
3977333714,4/12/2016 9:00,10
4020332650,4/12/2016 9:00,740
4057192912,4/12/2016 9:00,429
4319703577,4/12/2016 9:00,0
4388161847,4/12/2016 9:00,0
4445114986,4/12/2016 9:00,0
4558609924,4/12/2016 9:00,514
4702921684,4/12/2016 9:00,1264
5553957443,4/12/2016 9:00,64
5577150313,4/12/2016 9:00,120
6117666160,4/12/2016 9:00,0
6290855005,4/12/2016 9:00,410
6775888955,4/12/2016 9:00,0
6962181067,4/12/2016 9:00,2812
7007744171,4/12/2016 9:00,706
7086361926,4/12/2016 9:00,234
8053475328,4/12/2016 9:00,0
8253242879,4/12/2016 9:00,0
8378563200,4/12/2016 9:00,61
8583815059,4/12/2016 9:00,55
8792009665,4/12/2016 9:00,0
8877689391,4/12/2016 9:00,343
1503960366,4/12/2016 10:00,676
1624580081,4/12/2016 10:00,5375
1644430081,4/12/2016 10:00,288
1844505072,4/12/2016 10:00,582
1927972279,4/12/2016 10:00,0
2022484408,4/12/2016 10:00,5243
2026352035,4/12/2016 10:00,73
2320127002,4/12/2016 10:00,164
2347167796,4/12/2016 10:00,111
2873212765,4/12/2016 10:00,802
3372868164,4/12/2016 10:00,267
3977333714,4/12/2016 10:00,28
