Roll Numbers, 23-12-22
111,P-11
112,P-10
113,P-7
114,P-10
115,P-12+
116,P-8
117,P-8
118,P-8
119,P-9
120,A
121,P-0(Concession)
122,A
123,P-10
124,P-9
125,P-8
126,A
127,P-8
128,P-9
129,A
130,P-9
131,P-12+
132,P-8
133,P-10
134,P-7
135,P-8
136,P-7
137,P-7
138,P-9
139,P-10
140,P-10
141,P-8
142,A
143,P-7
144,P-8
145,A
146,P-8
147,P-8
148,P-8
149,P-9
150,P-9
151,P-9
152,P-8
153,P-8
154,P-7
155,P-9
156,P-8
157,P-8
158,P-10
159,P-9
160,P-10
199,P-12+
214,P-12+
2021-CS-214,A
2021-CS-199,A
